Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2022);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
633;25627;"Multimedia Tools and Applications";journal;"13807501, 15737721";0,720;Q2;106;1967;4866;88435;19366;4817;4,14;44,96;28,86;4;289;Netherlands;Western Europe;"Springer Netherlands";"1995-2023";"Media Technology (Q1); Computer Networks and Communications (Q2); Hardware and Architecture (Q2); Software (Q2)";"Computer Science; Engineering"
634;19900191719;"Construction Innovation";journal;"14770857, 14714175";0,719;Q1;52;75;114;4886;515;112;4,19;65,15;21,52;0;34;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2001-2023";"Architecture (Q1); Computer Science (miscellaneous) (Q1); Building and Construction (Q2); Civil and Structural Engineering (Q2); Control and Systems Engineering (Q2)";"Computer Science; Engineering"
635;28888;"Computer Law and Security Review";journal;"02673649";0,718;Q2;55;70;189;1576;637;182;3,32;22,51;38,64;9;25;United Kingdom;Western Europe;"Elsevier Ltd";"1985-2023";"Business, Management and Accounting (miscellaneous) (Q1); Law (Q1); Computer Networks and Communications (Q2)";"Business, Management and Accounting; Computer Science; Social Sciences"
636;24619;"Journal of Computer-Aided Molecular Design";journal;"15734951, 0920654X";0,717;Q2;119;61;254;3756;919;246;3,67;61,57;25,51;0;7;Netherlands;Western Europe;"Springer Netherlands";"1987-2023";"Computer Science Applications (Q2); Drug Discovery (Q2); Physical and Theoretical Chemistry (Q2)";"Chemistry; Computer Science; Pharmacology, Toxicology and Pharmaceutics"
637;25479;"International Journal of Control, Automation and Systems";journal;"20054092, 15986446";0,715;Q2;69;351;950;12732;3400;948;3,57;36,27;29,72;0;27;South Korea;Asiatic Region;"Institute of Control, Robotics and Systems";"2003-2023";"Computer Science Applications (Q2); Control and Systems Engineering (Q2)";"Computer Science; Engineering"
638;21100908414;"Proceedings of the ACM on Human-Computer Interaction";journal;"25730142";0,715;Q2;62;584;1026;47494;5071;955;3,91;81,33;43,06;12;113;United States;Northern America;"Association for Computing Machinery (ACM)";"2017-2023";"Social Sciences (miscellaneous) (Q1); Computer Networks and Communications (Q2); Human-Computer Interaction (Q2)";"Computer Science; Social Sciences"
639;31473;"Conference on Human Factors in Computing Systems - Proceedings";conference and proceedings;"-";0,714;-;229;0;1283;0;6717;1264;0,00;0,00;0,00;0;0;United States;Northern America;"";"1982-1983, 1986, 1988-2019";"Computer Graphics and Computer-Aided Design; Human-Computer Interaction; Software";"Computer Science"
640;4700152646;"International Journal of Information Technology and Decision Making";journal;"17936845, 02196220";0,714;Q1;53;79;194;4863;732;176;4,02;61,56;28,32;0;23;Singapore;Asiatic Region;"World Scientific Publishing Co. Pte Ltd";"2002, 2005-2023";"Computer Science (miscellaneous) (Q1)";"Computer Science"
641;21100203114;"Journal of Computer Networks and Communications";journal;"20907141, 2090715X";0,713;Q2;31;18;78;1074;350;78;2,88;59,67;22,64;0;5;Egypt;Africa/Middle East;"Hindawi Limited";"2011-2023";"Computer Networks and Communications (Q2); Information Systems (Q2)";"Computer Science"
642;19700174917;"International Journal of Telemedicine and Applications";journal;"16876415, 16876423";0,712;Q2;35;19;24;586;101;24;4,24;30,84;45,33;0;3;Egypt;Africa/Middle East;"Hindawi Limited";"2008-2023";"Computer Networks and Communications (Q2); Health Informatics (Q2); Medicine (miscellaneous) (Q2); Health Information Management (Q3)";"Computer Science; Health Professions; Medicine"
